telegram_index,telescope,source
376_gcn,"['australia telescope compact array', 'bepposax']",['grb']
379_gcn,"['asca', 'bepposax']","['grb', 'optical source']"
380_gcn,['bepposax'],['source not found']
381_gcn,['bepposax'],"['grb', 'star']"
382_gcn,['telescope not found'],['source not found']
383_gcn,['bepposax'],['total']
384_gcn,['bepposax'],['total']
385_gcn,['bepposax'],"['grb', 'sun']"
387_gcn,['most'],['grb']
386_gcn,['pepper'],"['grb', 'galaxy', 'supernova']"
388_gcn,"['bepposax', 'gamma']",['grb']
389_gcn,['telescope not found'],"['galaxy', 'grb']"
390_gcn,['bepposax'],['grb']
391_gcn,['telescope not found'],['grb']
392_gcn,['bepposax'],['grb']
394_gcn,['bepposax'],"['grb', 'total']"
393_gcn,['bepposax'],['source not found']
395_gcn,['bepposax'],"['grb', 'star']"
396_gcn,['bepposax'],['grb']
397_gcn,['bepposax'],"['grb', 'total']"
398_gcn,['telescope not found'],['grb']
399_gcn,['bepposax'],"['grb', 'total']"
400_gcn,"['bepposax', 'fast']",['total']
401_gcn,"['bepposax', 'rosat']",['x-ray source']
402_gcn,['telescope not found'],"['grb', 'galaxy', 'total']"
403_gcn,['telescope not found'],"['galaxy', 'grb']"
42_atel,['bepposax'],['pulsar']
404_gcn,['bepposax'],['grb']
406_gcn,['bepposax'],['grb']
405_gcn,['telescope not found'],['source not found']
407_gcn,['bepposax'],['source not found']
408_gcn,"['most', 'bepposax']","['variable star', 'galaxy', 'star']"
43_atel,['rxte'],"['variable star', 'sgr', 'nebula', 'star']"
409_gcn,['bepposax'],['x-ray source']
410_gcn,['telescope not found'],['source not found']
44_atel,"['hale', 'palomar']","['sgr', 'star']"
412_gcn,['telescope not found'],['source not found']
45_atel,['telescope not found'],['sgr']
413_gcn,['anglo australian telescope'],"['taurus', 'grb']"
414_gcn,['telescope not found'],['sgr']
415_gcn,['bepposax'],['grb']
416_gcn,['telescope not found'],['grb']
46_atel,"['rxte', 'most', 'rossi x-ray timing explorer']",['source not found']
417_gcn,['bepposax'],['grb']
419_gcn,['bepposax'],['source not found']
420_gcn,['bepposax'],['source not found']
418_gcn,['bepposax'],['source not found']
422_gcn,['u.s. naval observatory'],['grb']
421_gcn,['bepposax'],['grb']
47_atel,"['rxte', 'most']",['source not found']
48_atel,['most'],['source not found']
423_gcn,['bepposax'],"['grb', 'star']"
425_gcn,"['bepposax', 'very large array']",['grb']
424_gcn,['bepposax'],['grb']
426_gcn,['telescope not found'],['total']
49_atel,"['rxte', 'most']",['source not found']
427_gcn,['bepposax'],['grb']
428_gcn,"['bepposax', 'iras']","['grb', 'star']"
50_atel,"['jacobus kapteyn telescope', 'rxte', 'nordic optical telescope']",['source not found']
429_gcn,['bepposax'],['grb']
51_atel,['rxte'],['source not found']
431_gcn,['bepposax'],['grb']
430_gcn,['bepposax'],['grb']
432_gcn,"['bepposax', 'gamma']","['gamma-ray burst', 'sun']"
434_gcn,['bepposax'],['grb']
435_gcn,['bepposax'],['source not found']
433_gcn,['bepposax'],['source not found']
438_gcn,['bepposax'],"['grb', 'sao']"
437_gcn,['bepposax'],"['grb', 'star']"
436_gcn,['bepposax'],['grb']
441_gcn,['telescope not found'],['source not found']
439_gcn,['bepposax'],['grb']
442_gcn,['bepposax'],['grb']
440_gcn,['nordic optical telescope'],['cloud']
443_gcn,"['bepposax', 'gamma']",['gamma-ray burst']
444_gcn,"['bepposax', 'very large array']",['grb']
445_gcn,['bepposax'],"['grb', 'radio source', 'total']"
446_gcn,['bepposax'],"['grb', 'radio source']"
447_gcn,['bepposax'],"['grb', 'total']"
448_gcn,"['bepposax', 'gamma']",['grb']
52_atel,['telescope not found'],"['pulsar', '2s 1417-624']"
53_atel,['telescope not found'],['2s 1417-624']
449_gcn,['bepposax'],['grb']
450_gcn,['gamma'],['gamma-ray burst']
451_gcn,['very large array'],['grb']
452_gcn,['isaac newton telescope'],"['grb', 'radio source']"
455_gcn,['telescope not found'],['grb']
453_gcn,['telescope not found'],"['grb', 'radio source', 'optical source']"
456_gcn,['vatican advanced technology telescope'],['star']
454_gcn,['nordic optical telescope'],"['grb', 'optical source', 'star']"
457_gcn,['ryle telescope'],['source not found']
458_gcn,['telescope not found'],"['grb', 'star']"
460_gcn,['telescope not found'],['grb']
459_gcn,['planck'],['grb']
461_gcn,['integral'],"['grb', 'sao']"
462_gcn,['telescopio nazionale galileo'],['star']
463_gcn,"['rxte', 'gamma']","['gamma-ray burst', 'total']"
467_gcn,['telescope not found'],['grb']
466_gcn,"['rxte', 'lowell observatory']","['grb 991216', 'grb']"
465_gcn,['telescope not found'],['grb']
468_gcn,['gamma'],['source not found']
469_gcn,['rxte'],['star']
470_gcn,['telescope not found'],"['grb 991216', 'grb']"
471_gcn,['rxte'],['star']
464_gcn,['most'],"['grb', 'galaxy', 'supernova', 'grb 970508']"
472_gcn,['rxte'],"['grb 991216', 'grb']"
473_gcn,['telescope not found'],"['star', 'optical source']"
479_gcn,"['rxte', 'most']",['source not found']
478_gcn,"['most', 'rxte', 'gamma']","['x-ray source', 'gamma-ray burst']"
476_gcn,['telescope not found'],['star']
477_gcn,"['rxte', 'palomar']","['grb 991216', 'grb']"
474_gcn,"['bepposax', 'fast']",['grb']
475_gcn,"['most', 'integral']","['grb', 'sao', 'galaxy']"
487_gcn,['lowell observatory'],"['grb 991216', 'grb', 'star']"
490_gcn,['bepposax'],"['moon', 'grb']"
494_gcn,['telescope not found'],"['grb 991216', 'grb']"
482_gcn,['telescope not found'],['source not found']
485_gcn,['rxte'],['galaxy']
492_gcn,['new technology telescope'],['source not found']
491_gcn,['westerbork synthesis radio telescope'],['radio source']
481_gcn,['gamma'],"['grb', 'total']"
483_gcn,['telescope not found'],"['grb 991216', 'grb', 'radio source']"
489_gcn,['ryle telescope'],['radio source']
493_gcn,['bepposax'],['source not found']
484_gcn,['rxte'],['source not found']
488_gcn,['telescope not found'],"['grb 991216', 'grb']"
480_gcn,['telescope not found'],"['grb', 'galaxy', 'star']"
486_gcn,['gamma'],"['grb 991216', 'grb', 'star']"
496_gcn,['telescope not found'],['source not found']
497_gcn,['telescope not found'],"['grb 991216', 'grb', 'galaxy', 'star']"
498_gcn,['nordic optical telescope'],['star']
499_gcn,['telescope not found'],['star']
500_gcn,['chandra x-ray observatory'],['grb']
495_gcn,['telescope not found'],['star']
501_gcn,['bepposax'],['total']
502_gcn,"['bepposax', 'gamma']","['gamma-ray burst', 'grb']"
503_gcn,['telescope not found'],"['grb 991216', 'grb', 'moon']"
504_gcn,['telescope not found'],"['grb 991216', 'grb', 'total']"
505_gcn,['telescope not found'],['source not found']
506_gcn,['rxte'],"['grb', 'nebula', 'total']"
507_gcn,['gamma'],['gamma-ray burst']
508_gcn,['telescope not found'],['source not found']
509_gcn,['bepposax'],['source not found']
510_gcn,['telescope not found'],"['grb 991216', 'grb', 'galaxy']"
511_gcn,['most'],"['grb 991216', 'grb', 'galaxy', 'star']"
512_gcn,['gamma'],['gamma-ray burst']
515_gcn,['telescope not found'],['source not found']
514_gcn,['very long baseline array'],"['grb 991216', 'grb']"
513_gcn,['bepposax'],['grb']
516_gcn,['telescope not found'],['source not found']
517_gcn,['wiyn telescope'],"['supernova', 'star']"
518_gcn,['telescope not found'],['star']
520_gcn,['rxte'],['source not found']
519_gcn,['rxte'],['grb']
